status_id,text,favorite_count,retweet_count,place_name,country_code
1071067422805889024,RT @rebeccawangart: Chinese Azure Dragon art print in my @FineArtAmerica store - https://t.co/W7bwcu0ZGa https://t.co/Qrv53Myymf,0,0,NA,NA
1071067363070615552,"Datanomics is hiring a Azure Data Administrator in Whitehouse Station, NJ #job #Azure #SQL https://t.co/MMPzrwZtlV",0,0,NA,NA
1071067021411000321,"RT @Azure: Learn how to use #AI-powered #Azure Cognitive Search to create a data-enrichment pipeline that feeds into a search index. Watch,…",0,6,NA,NA
1071066773905129477,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071066761724755968,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071066749188005888,"RT @CNBC: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",0,9,NA,NA
1071066699162632192,"The December UG Meeting is ready for registration... Topic ""Lambda Architecture Design Using Azure Databricks for Advanced Analyitics"" by @LucasFeiock from @kizantech #SQLServer #sqlpass #sqlfamily https://t.co/OgRuUZORzB",1,1,NA,NA
1071066670490238976,"Microsoft's cloud business could be bigger than Windows by 2021,…
https://t.co/sbrVsz6ZDr ⁦@Azure⁩ ⁦@Microsoft⁩ ⁦@Windows⁩",0,0,NA,NA
1071066660449214464,"Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says. https://t.co/CtFuyA2YFz",23,9,NA,NA
1071066612638367745,@ZonbisWorkshop So cute! I hope you guys have fun!,0,0,NA,NA
1071066222555480064,"Datanomics is hiring a Azure Data Administrator in Jersey City, NJ #job #Azure #SQL https://t.co/p2I0BZpeRE",0,0,NA,NA
1071066047644557312,RT @erikaehrli1: Missed our awesome keynotes?Watch Microsoft Connect(); 2018 Conference | Microsoft Azure now available on-demand! https://…,0,9,NA,NA
1071065617841549312,"RT @Complex: April is going to be wild.

#GoTS8
#AvengersEndgame https://t.co/2EnYaAiCj0",0,4201,NA,NA
1071065280183455745,"@JrdnStreet I hope, we'll see. At least there's enough characters to find more than one who is fun to play =)",0,0,NA,NA
1071065189427105794,Reinventing Software Development and Availability with Open Source: an Interview with One of Azure's Lead Architects https://t.co/vZzXcef8jN via @linuxjournal @pkoutoupis #linux #opensource #softwaredevelopment https://t.co/8mDCIxN6y9,1,1,NA,NA
1071065046036475904,Using Azure Update Management on Azure Stack https://t.co/Jr2y89Mpz3,0,0,NA,NA
1071064870030737408,"RT @msft_businessCA: Watch on-demand to hear from cybersecurity experts from @Difenda_ about Threat Modeling, Threat Detection, Threat Resp…",0,5,NA,NA
